Date,Forecasted_Sunspot
2021-02-01,16.416964909335007
2021-03-01,18.380223162880352
2021-04-01,22.398760508126596
2021-05-01,24.360130197176073
2021-06-01,22.398760508126596
2021-07-01,22.398760508126596
2021-08-01,24.37793379135134
2021-09-01,24.37793379135134
2021-10-01,30.6568162570787
2021-11-01,25.457493021126204
2021-12-01,29.12493627011564
2022-01-01,32.00474132622901
2022-02-01,33.652922126782585
2022-03-01,33.652922126782585
2022-04-01,34.37218779884263
2022-05-01,33.92206156969773
2022-06-01,36.19067894568914
2022-07-01,37.845509498586054
2022-08-01,37.91466561702771
2022-09-01,37.872383364326886
2022-10-01,30.6924745697908
2022-11-01,34.9236007517996
2022-12-01,30.446281596357377
2023-01-01,30.296514053432222
